EmployeeId,Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Over18_Y,OverTime_No,OverTime_Yes,Attrition
20,49,1098,4,2,1,1,85,2,5,3,18711,12124,2,13,3,3,80,1,23,2,4,1,0,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,0.0
21,24,691,23,3,1,2,89,4,1,4,2725,21630,1,11,3,2,80,2,6,3,3,6,5,1,4,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,0.0
22,40,302,6,3,1,2,75,3,4,3,13237,20364,7,15,3,3,80,0,22,3,3,20,6,5,13,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,0.0
23,41,267,10,2,1,4,56,3,2,4,6230,13430,7,14,3,4,80,0,16,3,3,14,3,1,10,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,0.0
24,32,588,8,2,1,3,65,2,2,2,5228,24624,1,11,3,4,80,0,13,2,3,13,12,11,9,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,0.0
25,24,813,1,3,1,2,61,3,1,4,2293,3020,2,16,3,1,80,1,6,2,2,2,0,2,0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,1.0
26,49,722,25,4,1,3,84,3,1,1,3211,22102,1,14,3,4,80,1,10,3,2,9,6,1,4,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
27,24,350,21,2,1,3,57,2,1,1,2296,10036,0,14,3,2,80,3,2,3,3,1,1,0,0,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,0.0
28,39,412,13,4,1,3,94,2,4,2,17123,17334,6,13,3,4,80,2,21,4,3,19,9,15,2,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,0.0
29,59,818,6,2,1,2,52,3,1,3,2267,25657,8,17,3,4,80,0,7,2,2,2,2,2,2,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,0.0
30,47,1176,26,4,1,4,98,3,5,3,19658,5220,3,11,3,3,80,1,27,2,3,5,2,1,0,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,0.0
31,36,1425,14,1,1,3,68,3,2,4,6586,4821,0,17,3,1,80,1,17,2,2,16,8,4,11,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,0.0
32,30,853,7,4,1,3,49,3,2,3,3491,11309,1,13,3,1,80,3,10,4,2,10,7,8,9,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,0.0
33,38,433,1,3,1,3,37,4,1,3,2844,6004,1,13,3,4,80,1,7,2,4,7,6,5,0,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,0.0
34,28,1496,1,3,1,1,92,3,1,3,2909,15747,3,15,3,4,80,1,5,3,4,3,2,1,2,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,1.0
35,31,192,2,4,1,3,32,3,1,4,2695,7747,0,18,3,2,80,1,3,2,1,2,2,2,2,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,0.0
36,36,845,1,5,1,4,45,3,2,4,6653,15276,4,15,3,2,80,0,7,6,3,1,0,0,0,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,0.0
37,32,427,1,3,1,1,33,3,2,4,6162,10877,1,22,4,2,80,1,9,3,3,9,8,7,8,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,0.0
38,43,990,27,3,1,4,87,4,1,2,4876,5855,5,12,3,3,80,1,8,0,3,6,4,0,2,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,0.0
39,28,120,4,3,1,2,43,3,2,3,4221,8863,1,15,3,2,80,0,5,3,4,5,4,0,4,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
40,31,249,6,4,1,2,76,1,2,3,6172,20739,4,18,3,2,80,0,12,3,2,7,7,7,7,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,1.0
41,50,316,8,4,1,4,54,3,1,2,3875,9983,7,15,3,4,80,1,4,2,3,2,2,2,2,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,0.0
42,39,1132,1,3,1,3,48,4,3,4,9613,10942,0,17,3,1,80,3,19,5,2,18,10,3,7,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,0.0
43,35,809,16,3,1,1,84,4,1,2,2426,16479,0,13,3,3,80,1,6,5,3,5,4,0,3,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
44,32,379,5,2,1,2,48,3,2,2,6524,8891,1,14,3,4,80,1,10,3,3,10,8,5,3,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
45,26,1330,21,3,1,1,37,3,1,3,2377,19373,1,20,4,3,80,1,1,0,2,1,1,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,1.0
46,30,288,2,3,1,3,99,2,2,4,4152,15830,1,19,3,1,80,3,11,3,3,11,10,10,8,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,0.0
47,38,345,10,2,1,1,100,3,2,4,5343,5982,1,11,3,3,80,1,10,1,3,10,7,1,9,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
48,30,330,1,3,1,3,46,3,1,3,2064,15428,0,21,4,1,80,1,6,3,4,5,3,1,3,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,0.0
49,38,216,23,3,1,4,44,2,3,3,9526,8787,0,21,4,2,80,0,10,2,3,9,7,1,8,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,0.0
50,21,1343,22,1,1,3,49,3,1,3,3447,24444,1,11,3,3,80,0,3,2,3,3,2,1,2,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,0.0
51,35,950,7,3,1,3,59,3,3,3,10221,18869,3,21,4,2,80,0,17,3,4,8,5,1,6,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,0.0
52,50,264,9,3,1,3,59,3,5,3,19331,19519,4,16,3,3,80,1,27,2,3,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,0.0
53,34,426,10,4,1,3,42,4,2,4,4724,17000,1,13,3,1,80,1,9,3,3,9,7,7,2,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,0.0
54,26,1479,1,3,1,3,84,3,2,2,6397,26767,1,20,4,1,80,1,6,6,1,6,5,1,4,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,0.0
55,31,523,2,3,1,2,94,3,1,4,3722,21081,6,13,3,3,80,1,7,2,1,2,2,2,2,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,1.0
56,30,241,7,3,1,2,48,2,1,2,2141,5348,1,12,3,2,80,1,6,3,2,6,4,1,1,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,0.0
57,32,1062,2,3,1,3,75,3,1,2,2370,3956,1,13,3,3,80,1,8,4,3,8,0,0,7,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
58,32,929,10,3,1,4,55,3,2,4,5396,21703,1,12,3,4,80,0,10,2,2,10,7,0,8,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,0.0
59,34,1303,2,4,1,4,62,2,1,3,2768,8416,3,12,3,3,80,1,14,3,3,7,3,5,7,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,0.0
60,33,553,5,4,1,4,74,3,3,2,11878,23364,6,11,3,2,80,2,12,2,3,10,6,8,8,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,0.0
61,47,983,2,2,1,1,65,3,2,4,5070,7389,5,13,3,3,80,3,20,2,3,5,0,0,4,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,0.0
62,35,660,7,1,1,4,76,3,1,3,2404,16192,1,13,3,1,80,1,1,3,3,1,0,0,0,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,0.0
63,30,921,1,3,1,4,38,1,1,3,3833,24375,3,21,4,3,80,2,7,2,3,2,2,0,2,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
64,58,1145,9,3,1,2,75,2,1,2,3346,11873,4,20,4,2,80,1,9,3,2,1,0,0,0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,0.0
65,37,625,1,4,1,1,46,2,3,3,10609,14922,5,11,3,3,80,0,17,2,1,14,1,11,7,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,1.0
66,45,1005,28,2,1,4,48,2,4,2,16704,17119,1,11,3,3,80,0,21,2,3,21,6,8,6,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,0.0
67,52,585,29,4,1,1,40,3,1,4,3482,19788,2,15,3,2,80,2,16,3,2,9,8,0,0,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,0.0
68,38,1380,9,2,1,3,75,3,1,4,2288,6319,1,12,3,3,80,0,2,3,3,2,2,2,1,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,0.0
69,43,1372,9,3,1,1,85,1,2,3,5346,9489,8,13,3,2,80,0,7,2,2,4,3,1,3,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,1.0
70,27,728,23,1,1,2,36,2,2,3,3540,7018,1,21,4,4,80,1,9,5,3,9,8,5,8,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,0.0
71,52,322,28,2,1,4,59,4,4,3,13247,9731,2,11,3,2,80,1,24,3,2,5,3,0,2,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,0.0
72,49,271,3,2,1,3,43,2,2,1,4789,23070,4,25,4,1,80,1,10,3,3,3,2,1,2,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
73,44,1488,1,5,1,2,75,3,2,1,5454,4009,5,21,4,3,80,1,9,2,2,4,3,1,3,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,0.0
74,59,142,3,3,1,3,70,2,1,4,2177,8456,3,17,3,1,80,1,7,6,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,0.0
75,58,605,21,3,1,4,72,3,4,4,17875,11761,4,13,3,3,80,1,29,2,2,1,0,0,0,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,0.0
76,31,471,4,3,1,1,62,4,1,3,3978,16031,8,12,3,2,80,1,4,0,2,2,2,2,2,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,0.0
77,42,926,21,2,1,3,36,3,2,3,5265,16439,2,16,3,2,80,1,11,5,3,5,3,0,2,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,0.0
78,45,561,2,3,1,4,61,3,2,2,4805,16177,0,19,3,2,80,1,9,3,4,8,7,3,7,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
79,31,1079,10,2,1,3,86,3,2,4,6583,20115,2,11,3,4,80,1,8,2,3,5,2,1,4,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,0.0
80,34,1130,3,3,1,4,66,3,2,2,5433,19332,1,12,3,3,80,1,11,2,3,11,8,7,9,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,0.0
81,21,1427,18,1,1,4,65,3,1,4,2693,8870,1,19,3,1,80,0,1,3,2,1,0,0,0,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,1.0
82,23,885,4,3,1,1,58,4,1,1,2819,8544,2,16,3,1,80,1,5,3,4,3,2,0,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,0.0
83,47,207,9,4,1,2,64,3,1,3,2105,5411,4,12,3,3,80,0,7,2,3,2,2,2,0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,0.0
84,54,1147,3,3,1,4,52,3,2,1,5940,17011,2,14,3,4,80,1,16,4,3,6,2,0,5,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
85,41,509,7,2,1,2,43,4,1,3,3376,18863,1,13,3,3,80,0,10,3,3,10,6,0,8,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,0.0
86,45,1038,20,3,1,2,95,1,3,1,10851,19863,2,18,3,2,80,1,24,2,3,7,7,0,7,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,0.0
87,36,1120,11,4,1,2,100,2,2,4,6652,14369,4,13,3,1,80,1,8,2,2,6,3,0,0,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
88,45,1052,6,3,1,4,57,2,3,4,8865,16840,6,12,3,4,80,0,23,2,3,19,7,12,8,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,0.0
89,46,1254,10,3,1,3,64,3,3,2,7314,14011,5,21,4,3,80,3,14,2,3,8,7,0,7,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
90,42,419,12,4,1,2,77,3,2,4,5087,2900,3,12,3,3,80,2,14,4,3,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,0.0
91,34,1157,5,2,1,2,57,2,2,4,3986,11912,1,14,3,3,80,1,15,3,4,15,10,4,13,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
92,37,783,7,4,1,4,78,3,2,1,4284,13588,5,22,4,3,80,1,16,2,3,5,3,0,4,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,0.0
93,55,111,1,2,1,1,70,3,3,4,10239,18092,3,14,3,4,80,1,24,4,3,1,0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
94,22,457,26,2,1,2,85,2,1,3,2814,10293,1,14,3,2,80,0,4,2,2,4,2,1,3,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,0.0
95,34,1069,2,1,1,4,45,2,2,3,9547,14074,1,17,3,3,80,0,10,2,2,10,9,1,9,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,0.0
96,29,136,1,3,1,1,89,3,2,1,5373,6225,0,12,3,1,80,1,6,5,2,5,3,0,2,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,0.0
97,57,405,1,2,1,2,93,4,2,3,4900,2721,0,24,4,1,80,1,13,2,2,12,9,2,8,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,0.0
98,53,1168,24,4,1,1,66,3,3,1,10448,5843,6,13,3,2,80,0,15,2,2,2,2,2,2,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,0.0
99,33,147,4,4,1,3,47,2,1,2,2622,13248,6,21,4,4,80,0,7,3,3,3,2,1,1,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,0.0
100,32,300,1,3,1,4,61,3,1,4,2314,9148,0,12,3,2,80,1,4,2,3,3,0,0,2,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,0.0
101,21,251,10,2,1,1,45,2,1,3,2625,25308,1,20,4,3,80,0,2,2,1,2,2,2,2,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,1.0
102,34,296,6,2,1,4,33,1,1,3,2351,12253,0,16,3,4,80,1,3,3,2,2,2,1,0,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,1.0
103,55,1441,22,3,1,1,94,2,1,2,3537,23737,5,12,3,4,80,1,8,1,3,4,2,1,2,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,0.0
104,27,1242,20,3,1,4,90,3,2,3,9981,12916,1,14,3,4,80,0,7,2,3,7,7,0,7,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,0.0
105,46,1319,3,3,1,1,45,4,4,1,13225,7739,2,12,3,4,80,1,25,5,3,19,17,2,8,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,0.0
106,36,917,6,4,1,3,60,1,1,3,2741,6865,1,14,3,3,80,1,7,4,3,7,7,1,7,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,0.0
107,41,1360,12,3,1,2,49,3,5,3,19545,16280,1,12,3,4,80,0,23,0,3,22,15,15,8,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,1.0
108,38,1189,1,3,1,4,90,3,2,4,4735,9867,7,15,3,4,80,2,19,4,4,13,11,2,9,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,0.0
109,33,1296,6,3,1,3,30,3,2,4,7725,5335,3,23,4,3,80,1,15,2,1,13,11,4,7,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,0.0
110,18,247,8,1,1,3,80,3,1,3,1904,13556,1,12,3,4,80,0,0,0,3,0,0,0,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,1.0
